"YEAR","State","District","ANNUAL.RAINFALL_MM"
2006,"MADHYA PRADESH","VIDISHA",1296.3
2007,"MADHYA PRADESH","VIDISHA",782.1
2008,"MADHYA PRADESH","VIDISHA",1169.1
2009,"MADHYA PRADESH","VIDISHA",774.1
2012,"MADHYA PRADESH","VIDISHA",955.2
2013,"MADHYA PRADESH","VIDISHA",1614.7
2014,"MADHYA PRADESH","VIDISHA",1020.6
2015,"MADHYA PRADESH","VIDISHA",1015.4
2000,"MADHYA PRADESH","BETUL",514
2001,"MADHYA PRADESH","BETUL",888.8
2002,"MADHYA PRADESH","BETUL",983.8
2003,"MADHYA PRADESH","BETUL",1006.9
2004,"MADHYA PRADESH","BETUL",797.9
2005,"MADHYA PRADESH","BETUL",935.1
2006,"MADHYA PRADESH","BETUL",1138.8
2007,"MADHYA PRADESH","BETUL",1301
2008,"MADHYA PRADESH","BETUL",750.6
2009,"MADHYA PRADESH","BETUL",922.8
2012,"MADHYA PRADESH","BETUL",1565.4
2013,"MADHYA PRADESH","BETUL",1684
2014,"MADHYA PRADESH","BETUL",1061.5
2015,"MADHYA PRADESH","BETUL",1240
2000,"MADHYA PRADESH","RAJGARH",690.5
2001,"MADHYA PRADESH","RAJGARH",810.5
2002,"MADHYA PRADESH","RAJGARH",524.3
2003,"MADHYA PRADESH","RAJGARH",770
2004,"MADHYA PRADESH","RAJGARH",1014.9
2005,"MADHYA PRADESH","RAJGARH",717.3
2006,"MADHYA PRADESH","RAJGARH",1207.2
2007,"MADHYA PRADESH","RAJGARH",842.3
2008,"MADHYA PRADESH","RAJGARH",743.7
2009,"MADHYA PRADESH","RAJGARH",715.8
2012,"MADHYA PRADESH","RAJGARH",988.9
2013,"MADHYA PRADESH","RAJGARH",1576
2014,"MADHYA PRADESH","RAJGARH",1017.5
2015,"MADHYA PRADESH","RAJGARH",1565.3
2000,"MADHYA PRADESH","SHAJAPUR",584.3
2001,"MADHYA PRADESH","SHAJAPUR",652.3
2002,"MADHYA PRADESH","SHAJAPUR",632.8
2003,"MADHYA PRADESH","SHAJAPUR",833
2004,"MADHYA PRADESH","SHAJAPUR",828
2005,"MADHYA PRADESH","SHAJAPUR",642.5
2006,"MADHYA PRADESH","SHAJAPUR",1628.3
2007,"MADHYA PRADESH","SHAJAPUR",1060.9
2008,"MADHYA PRADESH","SHAJAPUR",692.7
2009,"MADHYA PRADESH","SHAJAPUR",700.9
2012,"MADHYA PRADESH","SHAJAPUR",898.9
2013,"MADHYA PRADESH","SHAJAPUR",1371.3
2014,"MADHYA PRADESH","SHAJAPUR",753.6
2015,"MADHYA PRADESH","SHAJAPUR",1578.5
2000,"MADHYA PRADESH","HOSHANGABAD",787.2
2001,"MADHYA PRADESH","HOSHANGABAD",858.7
2002,"MADHYA PRADESH","HOSHANGABAD",1127.7
2003,"MADHYA PRADESH","HOSHANGABAD",1164.9
2004,"MADHYA PRADESH","HOSHANGABAD",1276.7
2005,"MADHYA PRADESH","HOSHANGABAD",1386.4
2006,"MADHYA PRADESH","HOSHANGABAD",1901.8
2007,"MADHYA PRADESH","HOSHANGABAD",1092.8
2008,"MADHYA PRADESH","HOSHANGABAD",823.8
2009,"MADHYA PRADESH","HOSHANGABAD",1467.1
2012,"MADHYA PRADESH","HOSHANGABAD",1732.3
2013,"MADHYA PRADESH","HOSHANGABAD",2102.8
2014,"MADHYA PRADESH","HOSHANGABAD",1143.8
2015,"MADHYA PRADESH","HOSHANGABAD",1342.3
2000,"ANDHRA PRADESH","SRIKAKULAM",982
2001,"ANDHRA PRADESH","SRIKAKULAM",1053
2002,"ANDHRA PRADESH","SRIKAKULAM",799
2003,"ANDHRA PRADESH","SRIKAKULAM",1306
2004,"ANDHRA PRADESH","SRIKAKULAM",970
2005,"ANDHRA PRADESH","SRIKAKULAM",1176
2006,"ANDHRA PRADESH","SRIKAKULAM",1277
2007,"ANDHRA PRADESH","SRIKAKULAM",1203
2008,"ANDHRA PRADESH","SRIKAKULAM",1026
2009,"ANDHRA PRADESH","SRIKAKULAM",803
2010,"ANDHRA PRADESH","SRIKAKULAM",1621.7
2011,"ANDHRA PRADESH","SRIKAKULAM",934.6
2012,"ANDHRA PRADESH","SRIKAKULAM",1289.2
2013,"ANDHRA PRADESH","SRIKAKULAM",1421.9
2014,"ANDHRA PRADESH","SRIKAKULAM",1274.3
2015,"ANDHRA PRADESH","SRIKAKULAM",952.4
2000,"ANDHRA PRADESH","VISAKHAPATNAM",1071
2001,"ANDHRA PRADESH","VISAKHAPATNAM",1092
2002,"ANDHRA PRADESH","VISAKHAPATNAM",708
2003,"ANDHRA PRADESH","VISAKHAPATNAM",1234
2004,"ANDHRA PRADESH","VISAKHAPATNAM",946
2005,"ANDHRA PRADESH","VISAKHAPATNAM",1325
2006,"ANDHRA PRADESH","VISAKHAPATNAM",1207
2007,"ANDHRA PRADESH","VISAKHAPATNAM",1238
2008,"ANDHRA PRADESH","VISAKHAPATNAM",1030
2009,"ANDHRA PRADESH","VISAKHAPATNAM",873
2010,"ANDHRA PRADESH","VISAKHAPATNAM",1793.8
2011,"ANDHRA PRADESH","VISAKHAPATNAM",932.8
2012,"ANDHRA PRADESH","VISAKHAPATNAM",1217.9
2013,"ANDHRA PRADESH","VISAKHAPATNAM",1082.5
2014,"ANDHRA PRADESH","VISAKHAPATNAM",1092.6
2015,"ANDHRA PRADESH","VISAKHAPATNAM",1210.4
2000,"ANDHRA PRADESH","EAST GODAVARI",1013
2001,"ANDHRA PRADESH","EAST GODAVARI",1029
2002,"ANDHRA PRADESH","EAST GODAVARI",715
2003,"ANDHRA PRADESH","EAST GODAVARI",1054
2004,"ANDHRA PRADESH","EAST GODAVARI",875
2005,"ANDHRA PRADESH","EAST GODAVARI",1362
2006,"ANDHRA PRADESH","EAST GODAVARI",1208
2007,"ANDHRA PRADESH","EAST GODAVARI",1260
2008,"ANDHRA PRADESH","EAST GODAVARI",1200
2009,"ANDHRA PRADESH","EAST GODAVARI",719
2010,"ANDHRA PRADESH","EAST GODAVARI",1953.6
2011,"ANDHRA PRADESH","EAST GODAVARI",845
2012,"ANDHRA PRADESH","EAST GODAVARI",1445.3
2013,"ANDHRA PRADESH","EAST GODAVARI",1120.2
2014,"ANDHRA PRADESH","EAST GODAVARI",635.7
2015,"ANDHRA PRADESH","EAST GODAVARI",1099.1
2000,"ANDHRA PRADESH","WEST GODAVARI",959
2001,"ANDHRA PRADESH","WEST GODAVARI",851
2002,"ANDHRA PRADESH","WEST GODAVARI",603
2003,"ANDHRA PRADESH","WEST GODAVARI",959
2004,"ANDHRA PRADESH","WEST GODAVARI",811
2005,"ANDHRA PRADESH","WEST GODAVARI",1266
2006,"ANDHRA PRADESH","WEST GODAVARI",1068
2007,"ANDHRA PRADESH","WEST GODAVARI",1082
2008,"ANDHRA PRADESH","WEST GODAVARI",1264
2009,"ANDHRA PRADESH","WEST GODAVARI",673
2010,"ANDHRA PRADESH","WEST GODAVARI",1733.4
2011,"ANDHRA PRADESH","WEST GODAVARI",899.3
2012,"ANDHRA PRADESH","WEST GODAVARI",1611.9
2013,"ANDHRA PRADESH","WEST GODAVARI",1006.1
2014,"ANDHRA PRADESH","WEST GODAVARI",861.1
2015,"ANDHRA PRADESH","WEST GODAVARI",1053.9
2000,"ANDHRA PRADESH","KRISHNA",1049
2001,"ANDHRA PRADESH","KRISHNA",903
2002,"ANDHRA PRADESH","KRISHNA",619
2003,"ANDHRA PRADESH","KRISHNA",965
2004,"ANDHRA PRADESH","KRISHNA",818
2005,"ANDHRA PRADESH","KRISHNA",1147
2006,"ANDHRA PRADESH","KRISHNA",1185
2007,"ANDHRA PRADESH","KRISHNA",984
2008,"ANDHRA PRADESH","KRISHNA",1289
2009,"ANDHRA PRADESH","KRISHNA",724
2010,"ANDHRA PRADESH","KRISHNA",1770.8
2011,"ANDHRA PRADESH","KRISHNA",876.5
2012,"ANDHRA PRADESH","KRISHNA",1509.6
2013,"ANDHRA PRADESH","KRISHNA",1317.3
2014,"ANDHRA PRADESH","KRISHNA",622.9
2015,"ANDHRA PRADESH","KRISHNA",944.8
2000,"ANDHRA PRADESH","GUNTUR",991
2001,"ANDHRA PRADESH","GUNTUR",886
2002,"ANDHRA PRADESH","GUNTUR",565
2003,"ANDHRA PRADESH","GUNTUR",914
2004,"ANDHRA PRADESH","GUNTUR",755
2005,"ANDHRA PRADESH","GUNTUR",973
2006,"ANDHRA PRADESH","GUNTUR",797
2007,"ANDHRA PRADESH","GUNTUR",982
2008,"ANDHRA PRADESH","GUNTUR",988
2009,"ANDHRA PRADESH","GUNTUR",576
2010,"ANDHRA PRADESH","GUNTUR",1460.5
2011,"ANDHRA PRADESH","GUNTUR",610.9
2012,"ANDHRA PRADESH","GUNTUR",1012.7
2013,"ANDHRA PRADESH","GUNTUR",1161.5
2014,"ANDHRA PRADESH","GUNTUR",681.4
2015,"ANDHRA PRADESH","GUNTUR",713.5
2000,"ANDHRA PRADESH","S.P.S. NELLORE",1011
2001,"ANDHRA PRADESH","S.P.S. NELLORE",1283
2002,"ANDHRA PRADESH","S.P.S. NELLORE",972
2003,"ANDHRA PRADESH","S.P.S. NELLORE",805
2004,"ANDHRA PRADESH","S.P.S. NELLORE",1035
2005,"ANDHRA PRADESH","S.P.S. NELLORE",1421
2006,"ANDHRA PRADESH","S.P.S. NELLORE",893.9
2007,"ANDHRA PRADESH","S.P.S. NELLORE",1277
2008,"ANDHRA PRADESH","S.P.S. NELLORE",1060
2009,"ANDHRA PRADESH","S.P.S. NELLORE",916
2010,"ANDHRA PRADESH","S.P.S. NELLORE",1397.6
2011,"ANDHRA PRADESH","S.P.S. NELLORE",1087
2012,"ANDHRA PRADESH","S.P.S. NELLORE",911
2013,"ANDHRA PRADESH","S.P.S. NELLORE",871.8
2014,"ANDHRA PRADESH","S.P.S. NELLORE",705.3
2015,"ANDHRA PRADESH","S.P.S. NELLORE",1385.3
2000,"ANDHRA PRADESH","KURNOOL",922
2001,"ANDHRA PRADESH","KURNOOL",718
2002,"ANDHRA PRADESH","KURNOOL",559
2003,"ANDHRA PRADESH","KURNOOL",759
2004,"ANDHRA PRADESH","KURNOOL",590
2005,"ANDHRA PRADESH","KURNOOL",801
2006,"ANDHRA PRADESH","KURNOOL",592
2007,"ANDHRA PRADESH","KURNOOL",1009
2008,"ANDHRA PRADESH","KURNOOL",660
2009,"ANDHRA PRADESH","KURNOOL",759
2010,"ANDHRA PRADESH","KURNOOL",824.1
2011,"ANDHRA PRADESH","KURNOOL",500.4
2012,"ANDHRA PRADESH","KURNOOL",609.3
2013,"ANDHRA PRADESH","KURNOOL",703.4
2014,"ANDHRA PRADESH","KURNOOL",628.9
2015,"ANDHRA PRADESH","KURNOOL",470.3
2000,"ANDHRA PRADESH","ANANTHAPUR",642
2001,"ANDHRA PRADESH","ANANTHAPUR",662
2002,"ANDHRA PRADESH","ANANTHAPUR",386.6
2003,"ANDHRA PRADESH","ANANTHAPUR",664
2004,"ANDHRA PRADESH","ANANTHAPUR",514
2005,"ANDHRA PRADESH","ANANTHAPUR",772
2006,"ANDHRA PRADESH","ANANTHAPUR",434
2007,"ANDHRA PRADESH","ANANTHAPUR",736
2008,"ANDHRA PRADESH","ANANTHAPUR",764
2009,"ANDHRA PRADESH","ANANTHAPUR",575
2010,"ANDHRA PRADESH","ANANTHAPUR",755.9
2011,"ANDHRA PRADESH","ANANTHAPUR",482
2012,"ANDHRA PRADESH","ANANTHAPUR",536
2013,"ANDHRA PRADESH","ANANTHAPUR",501.7
2014,"ANDHRA PRADESH","ANANTHAPUR",437.8
2015,"ANDHRA PRADESH","ANANTHAPUR",708.8
2000,"ANDHRA PRADESH","KADAPA YSR",764
2001,"ANDHRA PRADESH","KADAPA YSR",881
2002,"ANDHRA PRADESH","KADAPA YSR",468
2003,"ANDHRA PRADESH","KADAPA YSR",373
2004,"ANDHRA PRADESH","KADAPA YSR",602
2005,"ANDHRA PRADESH","KADAPA YSR",855
2006,"ANDHRA PRADESH","KADAPA YSR",517
2007,"ANDHRA PRADESH","KADAPA YSR",1006
2008,"ANDHRA PRADESH","KADAPA YSR",700
2009,"ANDHRA PRADESH","KADAPA YSR",607
2010,"ANDHRA PRADESH","KADAPA YSR",907.4
2011,"ANDHRA PRADESH","KADAPA YSR",658.7
2012,"ANDHRA PRADESH","KADAPA YSR",558.2
2013,"ANDHRA PRADESH","KADAPA YSR",689.2
2014,"ANDHRA PRADESH","KADAPA YSR",432.6
2015,"ANDHRA PRADESH","KADAPA YSR",1012.5
2000,"ANDHRA PRADESH","CHITTOOR",888
2001,"ANDHRA PRADESH","CHITTOOR",1015
2002,"ANDHRA PRADESH","CHITTOOR",657
2003,"ANDHRA PRADESH","CHITTOOR",586.2
2004,"ANDHRA PRADESH","CHITTOOR",803
2005,"ANDHRA PRADESH","CHITTOOR",1347
2006,"ANDHRA PRADESH","CHITTOOR",741.2
2007,"ANDHRA PRADESH","CHITTOOR",1072
2008,"ANDHRA PRADESH","CHITTOOR",970
2009,"ANDHRA PRADESH","CHITTOOR",709
2010,"ANDHRA PRADESH","CHITTOOR",1086
2011,"ANDHRA PRADESH","CHITTOOR",952.5
2012,"ANDHRA PRADESH","CHITTOOR",1002.5
2013,"ANDHRA PRADESH","CHITTOOR",856
2014,"ANDHRA PRADESH","CHITTOOR",600.4
2015,"ANDHRA PRADESH","CHITTOOR",1418.9
2000,"TELANGANA","HYDERABAD",1015
2001,"TELANGANA","HYDERABAD",812
2002,"TELANGANA","HYDERABAD",660
2003,"TELANGANA","HYDERABAD",745
2004,"TELANGANA","HYDERABAD",674
2005,"TELANGANA","HYDERABAD",1132
2006,"TELANGANA","HYDERABAD",842
2007,"TELANGANA","HYDERABAD",791
2008,"TELANGANA","HYDERABAD",1159
2009,"TELANGANA","HYDERABAD",682
2010,"TELANGANA","HYDERABAD",1019.1
2011,"TELANGANA","HYDERABAD",599.3
2012,"TELANGANA","HYDERABAD",778.8
2013,"TELANGANA","HYDERABAD",1088.9
2014,"TELANGANA","HYDERABAD",607.7
2015,"TELANGANA","HYDERABAD",515.9
2000,"TELANGANA","NIZAMABAD",1043
2001,"TELANGANA","NIZAMABAD",870
2002,"TELANGANA","NIZAMABAD",684
2003,"TELANGANA","NIZAMABAD",832
2004,"TELANGANA","NIZAMABAD",715
2005,"TELANGANA","NIZAMABAD",1184
2006,"TELANGANA","NIZAMABAD",1068
2007,"TELANGANA","NIZAMABAD",858
2008,"TELANGANA","NIZAMABAD",933
2009,"TELANGANA","NIZAMABAD",668
2010,"TELANGANA","NIZAMABAD",1080.3
2011,"TELANGANA","NIZAMABAD",959.7
2012,"TELANGANA","NIZAMABAD",845.4
2013,"TELANGANA","NIZAMABAD",1341.7
2014,"TELANGANA","NIZAMABAD",646.7
2015,"TELANGANA","NIZAMABAD",661.3
2000,"TELANGANA","MEDAK",868
2001,"TELANGANA","MEDAK",692
2002,"TELANGANA","MEDAK",559
2003,"TELANGANA","MEDAK",759
2004,"TELANGANA","MEDAK",536
2005,"TELANGANA","MEDAK",837
2006,"TELANGANA","MEDAK",843
2007,"TELANGANA","MEDAK",643
2008,"TELANGANA","MEDAK",874
2009,"TELANGANA","MEDAK",592
2010,"TELANGANA","MEDAK",923.7
2011,"TELANGANA","MEDAK",600.8
2012,"TELANGANA","MEDAK",843
2013,"TELANGANA","MEDAK",1068.1
2014,"TELANGANA","MEDAK",512.1
2015,"TELANGANA","MEDAK",509
2000,"TELANGANA","MAHABUBNAGAR",700
2001,"TELANGANA","MAHABUBNAGAR",656
2002,"TELANGANA","MAHABUBNAGAR",543
2003,"TELANGANA","MAHABUBNAGAR",600
2004,"TELANGANA","MAHABUBNAGAR",421
2005,"TELANGANA","MAHABUBNAGAR",887
2006,"TELANGANA","MAHABUBNAGAR",559
2007,"TELANGANA","MAHABUBNAGAR",780
2008,"TELANGANA","MAHABUBNAGAR",573
2009,"TELANGANA","MAHABUBNAGAR",723
2010,"TELANGANA","MAHABUBNAGAR",755.1
2011,"TELANGANA","MAHABUBNAGAR",494.4
2012,"TELANGANA","MAHABUBNAGAR",632.7
2013,"TELANGANA","MAHABUBNAGAR",910.8
2014,"TELANGANA","MAHABUBNAGAR",601.1
2015,"TELANGANA","MAHABUBNAGAR",471.9
2000,"TELANGANA","NALGONDA",673
2001,"TELANGANA","NALGONDA",670
2002,"TELANGANA","NALGONDA",469
2003,"TELANGANA","NALGONDA",688
2004,"TELANGANA","NALGONDA",538
2005,"TELANGANA","NALGONDA",919
2006,"TELANGANA","NALGONDA",630
2007,"TELANGANA","NALGONDA",741
2008,"TELANGANA","NALGONDA",793
2009,"TELANGANA","NALGONDA",476
2010,"TELANGANA","NALGONDA",841.9
2011,"TELANGANA","NALGONDA",496.1
2012,"TELANGANA","NALGONDA",673.9
2013,"TELANGANA","NALGONDA",1146.3
2014,"TELANGANA","NALGONDA",543.2
2015,"TELANGANA","NALGONDA",637.5
2000,"TELANGANA","WARANGAL",1133
2001,"TELANGANA","WARANGAL",808
2002,"TELANGANA","WARANGAL",662
2003,"TELANGANA","WARANGAL",905
2004,"TELANGANA","WARANGAL",700
2005,"TELANGANA","WARANGAL",1135
2006,"TELANGANA","WARANGAL",1095
2007,"TELANGANA","WARANGAL",962
2008,"TELANGANA","WARANGAL",1196
2009,"TELANGANA","WARANGAL",591
2010,"TELANGANA","WARANGAL",1277.9
2011,"TELANGANA","WARANGAL",736.3
2012,"TELANGANA","WARANGAL",1231.9
2013,"TELANGANA","WARANGAL",1366.5
2014,"TELANGANA","WARANGAL",739.7
2015,"TELANGANA","WARANGAL",980.1
2000,"TELANGANA","KHAMMAM",1284
2001,"TELANGANA","KHAMMAM",908
2002,"TELANGANA","KHAMMAM",825
2003,"TELANGANA","KHAMMAM",1181
2004,"TELANGANA","KHAMMAM",1050
2005,"TELANGANA","KHAMMAM",1437
2006,"TELANGANA","KHAMMAM",1202
2007,"TELANGANA","KHAMMAM",1144
2008,"TELANGANA","KHAMMAM",1444
2009,"TELANGANA","KHAMMAM",700
2010,"TELANGANA","KHAMMAM",1662.6
2011,"TELANGANA","KHAMMAM",868.4
2012,"TELANGANA","KHAMMAM",1521.1
2013,"TELANGANA","KHAMMAM",1503.2
2014,"TELANGANA","KHAMMAM",819.6
2015,"TELANGANA","KHAMMAM",997.1
2000,"TELANGANA","KARIMNAGAR",974
2001,"TELANGANA","KARIMNAGAR",744
2002,"TELANGANA","KARIMNAGAR",662
2003,"TELANGANA","KARIMNAGAR",729
2004,"TELANGANA","KARIMNAGAR",532
2005,"TELANGANA","KARIMNAGAR",995
2006,"TELANGANA","KARIMNAGAR",1167
2007,"TELANGANA","KARIMNAGAR",832
2008,"TELANGANA","KARIMNAGAR",850
2009,"TELANGANA","KARIMNAGAR",670
2010,"TELANGANA","KARIMNAGAR",1195.2
2011,"TELANGANA","KARIMNAGAR",658
2012,"TELANGANA","KARIMNAGAR",1046.5
2013,"TELANGANA","KARIMNAGAR",1427.7
2014,"TELANGANA","KARIMNAGAR",733.1
2015,"TELANGANA","KARIMNAGAR",811
2000,"TELANGANA","ADILABAD",1026
2001,"TELANGANA","ADILABAD",1031
2002,"TELANGANA","ADILABAD",884
2003,"TELANGANA","ADILABAD",1083
2004,"TELANGANA","ADILABAD",696
2005,"TELANGANA","ADILABAD",1248
2006,"TELANGANA","ADILABAD",1214
2007,"TELANGANA","ADILABAD",874
2008,"TELANGANA","ADILABAD",941
2009,"TELANGANA","ADILABAD",651
2010,"TELANGANA","ADILABAD",1376.9
2011,"TELANGANA","ADILABAD",908.9
2012,"TELANGANA","ADILABAD",1048.8
2013,"TELANGANA","ADILABAD",1607.7
2014,"TELANGANA","ADILABAD",861.4
2015,"TELANGANA","ADILABAD",963.1
2012,"KARNATAKA","BANGALORE",601.5
2013,"KARNATAKA","BANGALORE",834.9
2014,"KARNATAKA","BANGALORE",900.4
2015,"KARNATAKA","BANGALORE",1088.5
2000,"KARNATAKA","KOLAR",788
2001,"KARNATAKA","KOLAR",802
2002,"KARNATAKA","KOLAR",478
2003,"KARNATAKA","KOLAR",577
2004,"KARNATAKA","KOLAR",771
2005,"KARNATAKA","KOLAR",1199
2006,"KARNATAKA","KOLAR",594
2007,"KARNATAKA","KOLAR",840
2008,"KARNATAKA","KOLAR",632
2009,"KARNATAKA","KOLAR",570.5
2010,"KARNATAKA","KOLAR",806
2011,"KARNATAKA","KOLAR",643
2012,"KARNATAKA","KOLAR",717.8
2013,"KARNATAKA","KOLAR",663.8
2014,"KARNATAKA","KOLAR",518
2015,"KARNATAKA","KOLAR",1083.8
2000,"KARNATAKA","TUMKUR",785
2001,"KARNATAKA","TUMKUR",618
2002,"KARNATAKA","TUMKUR",521
2003,"KARNATAKA","TUMKUR",480
2004,"KARNATAKA","TUMKUR",763
2005,"KARNATAKA","TUMKUR",1027
2006,"KARNATAKA","TUMKUR",578
2007,"KARNATAKA","TUMKUR",830.5
2008,"KARNATAKA","TUMKUR",597
2009,"KARNATAKA","TUMKUR",724.5
2010,"KARNATAKA","TUMKUR",841
2011,"KARNATAKA","TUMKUR",549
2012,"KARNATAKA","TUMKUR",559.9
2013,"KARNATAKA","TUMKUR",654.2
2014,"KARNATAKA","TUMKUR",703.8
2015,"KARNATAKA","TUMKUR",939.3
2000,"KARNATAKA","MYSORE",955
2001,"KARNATAKA","MYSORE",743
2002,"KARNATAKA","MYSORE",586
2003,"KARNATAKA","MYSORE",633
2004,"KARNATAKA","MYSORE",810
2005,"KARNATAKA","MYSORE",1182
2006,"KARNATAKA","MYSORE",749
2007,"KARNATAKA","MYSORE",823.7
2008,"KARNATAKA","MYSORE",474
2009,"KARNATAKA","MYSORE",727.6
2010,"KARNATAKA","MYSORE",873
2011,"KARNATAKA","MYSORE",782
2012,"KARNATAKA","MYSORE",526.5
2013,"KARNATAKA","MYSORE",730
2014,"KARNATAKA","MYSORE",880.1
2015,"KARNATAKA","MYSORE",981.2
2000,"KARNATAKA","MANDYA",898
2001,"KARNATAKA","MANDYA",691
2002,"KARNATAKA","MANDYA",483
2003,"KARNATAKA","MANDYA",499
2004,"KARNATAKA","MANDYA",910
2005,"KARNATAKA","MANDYA",1202
2006,"KARNATAKA","MANDYA",529
2007,"KARNATAKA","MANDYA",709.4
2008,"KARNATAKA","MANDYA",492
2009,"KARNATAKA","MANDYA",604.7
2010,"KARNATAKA","MANDYA",864
2011,"KARNATAKA","MANDYA",664
2012,"KARNATAKA","MANDYA",514
2013,"KARNATAKA","MANDYA",609.3
2014,"KARNATAKA","MANDYA",787
2015,"KARNATAKA","MANDYA",851.1
2000,"KARNATAKA","HASSAN",1417
2001,"KARNATAKA","HASSAN",1206
2002,"KARNATAKA","HASSAN",732
2003,"KARNATAKA","HASSAN",627
2004,"KARNATAKA","HASSAN",1005
2005,"KARNATAKA","HASSAN",1560
2006,"KARNATAKA","HASSAN",1146
2007,"KARNATAKA","HASSAN",1214.5
2008,"KARNATAKA","HASSAN",1325
2009,"KARNATAKA","HASSAN",1050.2
2010,"KARNATAKA","HASSAN",1676
2011,"KARNATAKA","HASSAN",1516
2012,"KARNATAKA","HASSAN",658.4
2013,"KARNATAKA","HASSAN",995.8
2014,"KARNATAKA","HASSAN",1049.9
2015,"KARNATAKA","HASSAN",997.7
2000,"KARNATAKA","SHIMOGE",3007
2001,"KARNATAKA","SHIMOGE",2251
2002,"KARNATAKA","SHIMOGE",1383
2003,"KARNATAKA","SHIMOGE",1277
2004,"KARNATAKA","SHIMOGE",1605
2005,"KARNATAKA","SHIMOGE",2113
2006,"KARNATAKA","SHIMOGE",1847
2007,"KARNATAKA","SHIMOGE",2373.4
2008,"KARNATAKA","SHIMOGE",2422
2009,"KARNATAKA","SHIMOGE",2418.8
2010,"KARNATAKA","SHIMOGE",2754
2011,"KARNATAKA","SHIMOGE",2869
2012,"KARNATAKA","SHIMOGE",1913
2013,"KARNATAKA","SHIMOGE",2756.4
2014,"KARNATAKA","SHIMOGE",2977.9
2015,"KARNATAKA","SHIMOGE",1590.4
2000,"KARNATAKA","CHICKMAGALUR",1957
2001,"KARNATAKA","CHICKMAGALUR",1595
2002,"KARNATAKA","CHICKMAGALUR",1438
2003,"KARNATAKA","CHICKMAGALUR",1381
2004,"KARNATAKA","CHICKMAGALUR",1820
2005,"KARNATAKA","CHICKMAGALUR",2332
2006,"KARNATAKA","CHICKMAGALUR",2067
2007,"KARNATAKA","CHICKMAGALUR",2638.6
2008,"KARNATAKA","CHICKMAGALUR",1684
2009,"KARNATAKA","CHICKMAGALUR",2105.2
2010,"KARNATAKA","CHICKMAGALUR",1998
2011,"KARNATAKA","CHICKMAGALUR",1772
2012,"KARNATAKA","CHICKMAGALUR",1609.2
2013,"KARNATAKA","CHICKMAGALUR",2201.1
2014,"KARNATAKA","CHICKMAGALUR",2131.1
2015,"KARNATAKA","CHICKMAGALUR",1692
2000,"KARNATAKA","CHITRADURGA",669
2001,"KARNATAKA","CHITRADURGA",496
2002,"KARNATAKA","CHITRADURGA",522
2003,"KARNATAKA","CHITRADURGA",-1
2004,"KARNATAKA","CHITRADURGA",619
2005,"KARNATAKA","CHITRADURGA",902
2006,"KARNATAKA","CHITRADURGA",541
2007,"KARNATAKA","CHITRADURGA",700
2008,"KARNATAKA","CHITRADURGA",474
2009,"KARNATAKA","CHITRADURGA",757.1
2010,"KARNATAKA","CHITRADURGA",891
2011,"KARNATAKA","CHITRADURGA",363
2012,"KARNATAKA","CHITRADURGA",575.6
2013,"KARNATAKA","CHITRADURGA",583.8
2014,"KARNATAKA","CHITRADURGA",856.3
2015,"KARNATAKA","CHITRADURGA",690.2
2000,"KARNATAKA","BELLARY",543
2001,"KARNATAKA","BELLARY",552
2002,"KARNATAKA","BELLARY",398
2003,"KARNATAKA","BELLARY",-1
2004,"KARNATAKA","BELLARY",589
2005,"KARNATAKA","BELLARY",723
2006,"KARNATAKA","BELLARY",757
2007,"KARNATAKA","BELLARY",650.4
2008,"KARNATAKA","BELLARY",362
2009,"KARNATAKA","BELLARY",834.4
2010,"KARNATAKA","BELLARY",672
2011,"KARNATAKA","BELLARY",380
2012,"KARNATAKA","BELLARY",544.7
2013,"KARNATAKA","BELLARY",604.2
2014,"KARNATAKA","BELLARY",795.5
2015,"KARNATAKA","BELLARY",597.9
2000,"KARNATAKA","DHARWAD",715
2001,"KARNATAKA","DHARWAD",414
2002,"KARNATAKA","DHARWAD",679
2003,"KARNATAKA","DHARWAD",-1
2004,"KARNATAKA","DHARWAD",636
2005,"KARNATAKA","DHARWAD",932
2006,"KARNATAKA","DHARWAD",713
2007,"KARNATAKA","DHARWAD",860.3
2008,"KARNATAKA","DHARWAD",534
2009,"KARNATAKA","DHARWAD",791.7
2010,"KARNATAKA","DHARWAD",873
2011,"KARNATAKA","DHARWAD",744
2012,"KARNATAKA","DHARWAD",474.1
2013,"KARNATAKA","DHARWAD",686.3
2014,"KARNATAKA","DHARWAD",909.6
2015,"KARNATAKA","DHARWAD",600.2
2000,"KARNATAKA","BELGAUM",948
2001,"KARNATAKA","BELGAUM",749
2002,"KARNATAKA","BELGAUM",588
2003,"KARNATAKA","BELGAUM",-1
2004,"KARNATAKA","BELGAUM",742
2005,"KARNATAKA","BELGAUM",1031
2006,"KARNATAKA","BELGAUM",867
2007,"KARNATAKA","BELGAUM",944.9
2008,"KARNATAKA","BELGAUM",921
2009,"KARNATAKA","BELGAUM",1216.2
2010,"KARNATAKA","BELGAUM",1190
2011,"KARNATAKA","BELGAUM",1153
2012,"KARNATAKA","BELGAUM",561
2013,"KARNATAKA","BELGAUM",774.1
2014,"KARNATAKA","BELGAUM",976.8
2015,"KARNATAKA","BELGAUM",580.5
2000,"KARNATAKA","BIJAPUR / VIJAYAPURA",449
2001,"KARNATAKA","BIJAPUR / VIJAYAPURA",462
